magnitude,cdi,mmi,alert,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
6.5,0,5,,650,us,409,0.0,26.2,mwc,28.9,-1.689,99.668,,Indonesia
6.6,5,7,green,820,us,0,1.064,14.0,mww,35.0,-31.7275,-71.3792,South America,Chile
8.0,8,7,green,993,us,460,0.0,20.9,mww,24.0,-10.799,165.114,,
6.8,7,7,green,841,us,0,0.258,41.0,mww,46.0,-30.8796,-71.4519,South America,Chile
6.6,5,4,green,734,us,0,2.015,18.0,mww,165.0,28.9386,128.262,,
6.9,4,7,,737,us,456,0.0,15.7,mwc,28.0,-5.966,150.428,,Papua New Guinea
6.7,0,6,,691,us,529,0.0,22.3,mwc,27.4,39.533,73.824,Asia,Kyrgyzstan
7.2,0,6,,798,us,427,0.0,0.0,mwc,21.0,-17.6,167.856,,Vanuatu
6.5,7,4,green,657,us,114,7.177,25.0,mww,192.955,-13.8814,167.158,,Vanuatu
7.5,5,7,,870,us,301,0.0,33.8,mwc,10.0,-8.152,124.868,,Indonesia
6.5,5,4,,659,us,403,0.0,11.1,mwc,220.0,-5.486,146.822,,Papua New Guinea
7.1,0,6,,776,us,0,0.0,0.0,mwc,33.0,29.976,68.208,Asia,Pakistan
6.7,5,6,,731,us,358,0.0,33.9,mww,21.0,-35.38,-72.834,,
6.7,5,7,,704,us,481,0.0,30.3,mwb,45.0,-22.954,-70.182,South America,Chile
6.7,0,5,,691,us,147,0.0,0.0,mb,33.0,-4.646,102.102,,Indonesia
6.7,0,3,green,691,us,0,7.527,17.0,mww,13.0,-43.1219,42.3568,,
6.9,4,4,green,735,us,0,1.716,25.0,mww,26.0,-4.2791,101.215,,Indonesia
6.9,0,6,green,732,us,0,3.934,15.0,mww,615.42,-19.8015,-178.4,,Fiji
6.6,0,4,,670,us,728,0.0,18.3,mwb,187.1,36.512,71.029,Asia,Afghanistan
7.1,0,7,,776,us,0,0.0,0.0,mwb,138.0,-5.159,150.88,,Papua New Guinea
6.9,5,4,green,738,us,0,1.173,36.0,mww,20.74,55.2657,-157.68,,
7.8,0,7,,936,us,0,0.0,0.0,mwc,33.0,54.841,162.035,Asia,Russia
7.5,3,6,green,871,us,0,2.405,18.0,mww,10.0,-21.9496,169.427,,
7.0,5,6,green,897,us,0,0.698,21.0,mww,19.0,-37.3586,179.146,,
7.7,0,9,,912,us,0,0.0,0.0,mwc,33.0,23.772,120.982,Asia,Taiwan
6.6,8,5,green,674,us,0,0.507,49.0,mww,19.0,52.6252,-168.15,,
6.9,7,6,green,734,us,0,1.166,25.0,mww,26.0,-14.3235,166.855,,Vanuatu
7.4,8,8,orange,1494,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,North America,Mexico
6.9,8,5,green,738,us,0,2.979,14.0,mww,21.0,-4.1064,129.508,,Indonesia
7.0,0,7,,754,us,0,0.0,0.0,mwc,114.1,-4.596,153.235,,Papua New Guinea
7.0,8,6,green,759,us,0,5.205,22.0,mww,11.0,-10.4012,165.141,,
6.8,9,7,yellow,825,us,0,0.546,39.0,mww,18.0,6.6969,125.174,,Philippines
6.7,0,6,,691,us,0,0.0,0.0,mwc,33.0,-6.954,129.022,,Indonesia
6.5,7,8,green,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,North America,United States of America
8.0,9,8,orange,1890,us,0,3.18,17.0,mww,122.57,-5.8119,-75.2697,South America,Peru
6.7,9,8,yellow,800,us,108,0.218,44.0,mww,14.497,37.4135,36.8306,Asia,Turkiye
6.6,5,6,,701,us,413,0.0,16.7,mwc,34.0,13.667,92.831,,India
6.7,2,3,green,691,us,0,3.745,23.0,mww,550.0,-18.3604,-178.063,,Fiji
6.6,2,6,green,671,us,0,3.557,13.0,mww,53.19,-5.9873,148.232,,Papua New Guinea
6.8,7,6,,790,us,649,0.0,27.0,mwc,122.9,-2.312,-77.838,South America,Ecuador
7.0,7,4,green,869,us,0,2.501,42.0,mww,267.0,-14.7131,-70.1546,South America,Peru
7.5,0,5,,865,us,0,0.0,0.0,mwb,33.0,22.306,125.308,,
7.5,6,5,green,879,us,0,4.109,12.0,mww,57.8,48.9638,157.695,,
6.7,8,8,orange,1600,us,0,0.173,22.0,mww,63.0,-30.0404,-71.3815,South America,Chile
6.9,4,4,green,741,us,136,1.179,23.0,mww,229.0,-17.853,-174.937,,
6.8,4,7,,744,us,338,0.0,19.0,mwc,18.0,-44.796,167.553,,New Zealand
6.6,0,6,green,670,us,421,0.0,16.6,mww,18.0,-10.994,165.741,,Solomon Islands
6.6,6,6,green,976,us,0,1.168,21.0,mww,21.0,35.1456,31.9095,Asia,
6.6,0,7,,670,us,548,0.0,28.0,mwc,19.0,60.772,165.743,Asia,Russia
6.6,0,6,green,670,us,0,2.666,22.0,mww,10.0,-11.1284,162.052,,
6.5,9,8,yellow,740,us,0,4.139,30.0,mww,9.0,11.1269,124.629,,Philippines
7.1,6,6,green,799,us,0,1.271,11.0,mww,33.0,1.6213,126.416,,Indonesia
